lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
thia,PRT,46,15,15,14,15
lysin,ADP,77,15,38,21,37
launder,ADP,191,15,26,34,44
readin,ADP,35,15,15,14,14
agreethe,DET,32,15,15,14,14
availab,DET,85,15,24,25,32
excreta,DET,133,15,20,26,35
theo,PRT,85,15,15,17,18
toreach,PRT,176,15,15,24,24
amous,ADP,56,15,15,15,15
frind,ADP,77,15,16,18,19
goest,PRON,66,15,15,17,17
exceptin,ADP,58,15,15,18,18
oore,ADP,149,15,15,22,22
wthout,PRT,60,15,15,17,18
overy,PRT,55,15,15,15,15
outrank,ADP,51,15,18,15,19
agricultu,DET,145,15,17,25,27
allowthe,DET,186,15,15,22,23
belabor,ADP,168,15,17,44,51
onas,ADP,50,15,15,14,14
visitin,ADP,33,15,15,15,15
wick,PRT,55,15,15,18,18
proby,ADP,33,15,15,14,14
thov,DET,43,15,15,15,15
intercross,ADP,71,14,17,17,19
illon,ADP,69,14,15,15,15
semeth,ADP,58,14,15,16,16
beekeeper,ADP,54,14,28,18,24
embellishment,CONJ,84,14,14,20,20
accountin,ADP,179,14,15,38,39
overof,ADP,28,14,15,14,14
atta,ADP,50,14,14,17,17
occupyin,ADP,81,14,14,21,22
placin,ADP,49,14,15,16,17
weigher,PRON,58,14,16,16,18
andamanensis,CONJ,93,14,20,24,32
soin,ADP,46,14,14,17,17
highl,DET,32,14,14,14,14
bere,PRT,38,14,14,15,15
therin,PRT,57,14,14,17,17
buckwheat,PRT,62,14,15,17,18
approximatelv,DET,139,14,56,38,56
failin,ADP,37,14,14,15,15
prolong,PRT,93,14,14,27,27
wil,PRT,37,14,14,15,15
naif,ADP,28,14,14,13,13
astron,ADP,162,14,14,31,31
esprit,PRT,33,14,14,14,14
expect,ADP,90,14,14,26,27
interthe,DET,30,14,14,13,14
multiplicand,CONJ,113,14,14,32,32
quitea,DET,90,14,14,21,22
sectionof,ADP,79,14,14,15,16
wheruppon,ADP,90,14,14,18,18
formicivorus,ADP,84,14,25,22,29
fortin,ADP,46,14,14,16,16
orotund,CONJ,62,14,16,18,22
albomarginata,DET,93,14,32,22,31
paler,ADP,46,14,14,15,16
officii,ADP,37,14,14,15,15
becam,ADP,44,14,14,16,16
arcund,ADP,66,14,14,18,18
nich,DET,87,14,15,24,24
rudeness,CONJ,89,14,14,18,18
zeide,ADP,188,0,188,1,128
ontreinigt,ADP,164,0,164,1,111
nomatan,ADP,147,0,147,1,103
nakaila,DET,147,0,147,1,100
tumahan,ADP,146,0,146,1,127
wszystek,ADP,145,0,145,1,126
armahda,DET,131,0,131,1,92
bedriver,ADP,130,0,130,1,90
kryqin,ADP,126,0,126,1,84
vajjon,ADP,125,0,125,1,109
svojmu,ADP,123,0,123,1,85
forarger,ADP,121,0,121,1,82
velsignet,DET,120,0,120,1,81
norfloxacin,ADP,154,0,119,20,96
uddriver,ADP,118,0,118,1,80
solifenacin,ADP,162,0,118,8,109
igatugyan,ADP,116,0,116,1,78
magasawa,DET,116,0,116,1,82
nagpatirapa,DET,116,0,116,1,87
sosuga,DET,134,0,111,2,104
terbinafine,PRON,188,0,111,16,100
napakita,DET,111,0,111,1,87
paroroon,ADP,110,0,110,1,82
sumasampalataya,DET,110,0,110,1,77
gangsta,DET,179,0,110,14,106
pixel,PRT,165,0,108,19,93
besuan,ADP,107,0,107,1,73
ipinagbilin,ADP,106,0,106,1,77
mexiletine,PRON,190,0,106,21,103
topfoto,PRT,164,0,105,7,96
thermooxidative,DET,154,0,104,26,92
flashover,ADP,179,0,104,45,92
organosulfur,CONJ,184,0,103,27,87
relativelayout,ADP,172,0,102,4,88
obliczem,PRON,101,0,101,1,93
svojeho,ADP,100,0,100,0,70
morpheme,PRON,178,0,99,31,85
esxi,PRON,162,0,98,4,87
tigecycline,PRON,166,0,98,7,90
clindamycin,ADP,162,0,97,23,95
phospholipase,PRT,173,0,95,21,80
onreinen,PRT,94,0,94,0,64
youmve,PRON,127,0,92,2,85
wstawszy,ADP,91,0,91,1,75
rosiglitazone,PRON,152,0,90,8,85
tumatahan,ADP,89,0,89,0,71
stego,DET,146,0,89,7,82
erlotinib,PRON,138,0,87,6,84
naalaala,DET,86,0,86,0,63
vsphere,ADP,134,0,85,3,77
lndira,ADP,163,0,85,17,69
njohur,ADP,85,0,85,0,57
dalfopristin,ADP,111,0,84,8,72
outerplanar,ADP,180,0,83,17,75
aggresome,DET,115,0,83,7,76
pagabuhaton,ADP,80,0,80,0,56
haarself,DET,91,0,79,2,67
mahila,DET,181,0,79,25,81
iliaj,ADP,78,0,78,0,66
bytebuffer,ADP,129,0,78,6,80
nagsisampalataya,DET,77,0,77,0,54
azeotrope,DET,138,0,76,27,71
boceprevir,CONJ,129,0,75,3,67
meanjin,ADP,176,0,75,27,76
notifyall,DET,115,0,74,8,75
peroxiredoxin,ADP,145,0,74,7,72
allelopathy,DET,112,0,74,16,62
openmp,PRT,99,0,74,6,67
whitecollar,ADP,162,0,74,30,62
ngrit,CONJ,73,0,73,0,52
nagpasimula,DET,73,0,73,0,51
hanemha,DET,73,0,73,0,51
iniuutos,ADP,73,0,73,0,65
kanino,DET,73,0,73,0,50
bliv,DET,72,0,72,0,49
iegelijk,ADP,72,0,72,0,49
ansainnut,DET,72,0,72,0,49
vstupujeme,PRON,72,0,72,0,48
zabijme,DET,72,0,72,0,48
vinice,ADP,71,0,71,0,48
zaprel,DET,71,0,71,0,48
iformatprovider,ADP,183,0,71,6,74
ottivat,ADP,71,0,71,0,54
ontbindt,ADP,70,0,70,0,48
onrechtvaardigen,ADP,70,0,70,0,47
dirilerin,ADP,69,0,69,0,47
zenginin,ADP,69,0,69,0,47
vraagde,ADP,69,0,69,0,47
nanggula,DET,69,0,69,0,46
ubasan,ADP,69,0,69,0,52
bioheat,DET,151,0,69,13,70
theweleit,PRON,124,0,69,12,68
twego,DET,69,0,69,0,53
openssl,ADP,100,0,68,5,61
akashiwo,DET,139,0,68,12,63
peroxyl,ADP,122,0,68,15,55
nanghitingala,DET,68,0,68,0,45
terstond,CONJ,67,0,67,0,45
youhre,PRON,92,0,67,2,56
enterocolitica,DET,127,0,66,15,61
ticagrelor,ADP,120,0,66,2,64
sqlcommand,CONJ,143,0,66,5,65
sanoivat,ADP,66,0,66,0,55
mesalamine,PRON,122,0,65,10,61
sorbitan,ADP,138,0,65,22,65
asiasat,ADP,160,0,64,10,69
nucleophile,ADP,133,0,64,17,60
tumayo,DET,121,0,64,1,61
ibabangon,ADP,64,0,64,0,47
thehehe,DET,91,0,64,3,49
kjo,PRON,64,0,64,0,48
nejm,PRON,122,0,63,13,62
nagapanumpa,DET,63,0,63,0,42
nicotinamide,DET,175,0,62,21,58
bitcoin,ADP,121,0,62,1,59
alcian,DET,138,0,61,21,68
perimenopause,ADP,89,0,61,6,48
mapreduce,PRON,132,0,61,4,62
singlephoton,ADP,133,0,60,15,60
viscometer,ADP,127,2,60,30,53
ikapulo,ADP,60,0,60,0,44
attitudinal,ADP,94,0,60,17,48
interrogea,ADP,59,0,59,0,41
verdammt,DET,59,0,59,0,41
visfatin,ADP,139,0,59,4,67
kaumahan,ADP,59,0,59,0,43
nmap,DET,108,0,59,6,53
sinalita,ADP,59,0,59,0,47
nakasala,DET,59,0,59,0,42
thesaret,DET,58,0,58,0,49
ligesom,ADP,58,0,58,0,42
modulate,PRT,89,0,58,20,50
agalsidase,ADP,102,0,58,5,57
thicknet,DET,109,0,58,8,58
silicosis,CONJ,115,3,58,28,53
ipatatawad,ADP,57,0,57,0,40
wsdl,ADP,102,0,57,4,54
ibinangon,ADP,57,0,57,0,40
onstartcommand,CONJ,90,0,57,2,58
sialoprotein,ADP,114,0,57,12,49
hmgcoa,DET,172,0,57,15,55
ignoreer,ADP,72,0,57,2,45
hadoop,DET,118,0,57,3,59
pioglitazone,PRON,115,0,57,6,49
drupal,ADP,75,0,56,2,39
thiomargarita,DET,82,0,56,4,48
professionalinterest,ADP,92,0,56,1,52
trimethylsilyl,DET,82,0,56,16,46
igmp,ADP,82,0,55,5,48
anomander,DET,139,0,55,4,67
nouseva,DET,55,0,55,0,39
nakakikita,DET,55,0,55,0,38
androstenediol,DET,137,0,55,25,63
takowe,DET,55,0,55,0,39
nakisama,DET,55,0,55,0,38
nangakakahawa,DET,55,0,55,0,38
ultrahigh,ADP,112,0,54,18,43
pumasok,ADP,54,0,54,0,37
thiono,DET,124,0,54,18,53
lntern,ADP,165,0,54,20,62
ujrzawszy,ADP,54,0,54,0,39
vokt,ADP,54,0,54,0,37
sysdba,DET,123,0,53,6,61
zenden,ADP,53,0,53,0,38
viniere,ADP,53,0,53,0,36
kirlian,DET,98,0,52,11,50
tfeu,DET,72,0,52,2,45
ectomycorrhiza,DET,88,0,52,10,47
involvementin,ADP,120,0,52,13,49
quinupristin,ADP,70,0,52,5,44
wikis,PRT,74,0,52,3,46
peptidase,ADP,147,0,52,26,63
trovarono,PRT,52,0,52,0,36
antiasthma,DET,106,0,52,12,44
wileyplus,ADP,86,0,52,3,49
lineargradientbrush,ADP,102,0,52,3,53
oznajmijcie,ADP,52,0,52,0,36
tubulin,PRT,71,0,51,10,46
imipenem,PRON,73,0,51,8,47
skutky,ADP,51,0,51,0,36
viajn,ADP,51,0,51,0,45
anteclypeus,CONJ,147,6,51,31,55
dapsone,PRON,112,0,51,15,47
artakalan,ADP,50,0,50,0,35
isotretinoin,ADP,74,0,50,8,50
sakacin,ADP,68,0,50,6,47
mesalazine,PRON,91,0,50,7,48
miingon,ADP,50,0,50,0,34
procuraban,ADP,50,0,50,0,34
sumamba,DET,50,0,50,0,44
tweehonderd,ADP,50,0,50,0,35
voorhof,ADP,50,0,50,0,42
famotidine,PRON,63,0,50,7,42
intrastrand,CONJ,105,0,50,11,45
webassign,ADP,152,0,50,4,60
tempullin,ADP,50,0,50,0,35
thiamethoxam,DET,102,0,49,5,55
besifloxacin,ADP,71,0,49,2,42
streetwise,ADP,79,0,49,9,41
opdat,PRON,49,0,49,0,34
anklagede,DET,50,0,49,0,34
nilotinib,PRON,71,0,49,2,38
ansoff,DET,117,0,49,13,53
begomovirus,ADP,71,0,49,4,42
wesela,DET,49,0,49,0,33
tilbade,ADP,49,0,49,0,33
viacej,ADP,49,0,49,0,34
ipscs,PRON,72,0,49,2,42
filmmaker,ADP,110,0,49,12,51
timedomain,ADP,97,0,49,11,42
ontfermd,ADP,49,0,49,0,34
narodilo,DET,49,0,49,0,33
isdigit,PRON,96,0,48,8,44
machinima,DET,181,0,48,5,76
youtube,ADP,96,0,48,2,44
omvende,ADP,48,0,48,0,32
ofiarami,ADP,48,0,48,0,33
weavon,PRT,48,0,48,1,48
twojego,DET,48,0,48,0,33
zachowa,DET,48,0,48,0,33
uczniowie,ADP,48,0,48,0,33
trzymacie,DET,48,0,48,0,33
andersland,CONJ,81,0,48,14,42
forbyder,ADP,48,0,48,0,32
vogter,ADP,48,0,48,0,32
overlayer,PRT,166,0,48,17,60
adwords,DET,104,0,48,4,51
paperwork,ADP,110,0,48,14,46
onmouseup,ADP,106,0,48,5,51
ovcem,PRON,48,0,48,0,32
tancovala,DET,48,0,48,0,32
weert,DET,48,0,48,0,32
trekt,DET,48,0,48,0,33
tailpipe,DET,134,0,47,19,53
nagabuhat,ADP,47,0,47,0,32
intercluster,ADP,81,0,47,11,41
iformatter,ADP,67,0,47,3,38
igrp,ADP,156,0,47,6,57
thiazolyl,DET,99,0,47,15,43
antwoordden,CONJ,47,0,47,0,32
igasugnod,ADP,47,0,47,0,32
ontzetten,ADP,47,0,47,0,32
oturup,ADP,47,0,47,0,33
tolv,PRON,47,0,47,0,32
vergaderd,ADP,47,0,47,0,32
phenytoin,PRT,92,0,47,10,42
silodosin,ADP,63,0,47,1,39
pacer,ADP,184,8,14,32,42
athird,ADP,190,12,12,32,32
twostage,DET,128,11,46,31,55
ocross,ADP,158,4,5,30,36
lust,PRON,140,12,12,29,29
arrhizus,ADP,171,1,42,29,57
favorof,ADP,161,13,13,28,29
meaner,CONJ,184,12,12,28,29
buf,ADP,157,8,8,27,28
orthe,ADP,190,10,10,27,28
blastula,DET,142,6,15,27,44
stin,ADP,179,8,9,26,27
lifeboat,ADP,107,9,25,26,35
azo,PRT,129,7,43,25,42
onlinefirst,ADP,164,0,12,4,79
osteoprogenitor,ADP,190,0,44,19,71
fasciclin,ADP,185,0,33,10,67
hukou,PRON,177,0,39,10,65
yohkoh,PRON,179,0,46,9,64
kazakh,PRON,155,0,43,21,59
deejay,ADP,155,0,18,19,58
audiophile,ADP,133,0,36,17,57
aadvantage,DET,173,0,24,9,56
nematophilus,CONJ,186,0,39,15,55
freesheet,ADP,160,0,38,11,55
mellifera,ADP,140,0,41,17,55
atrophaeus,ADP,129,0,21,7,54
antanut,DET,124,0,37,1,54
